date,geoRegion,ageRange,sex,cases,hosps,deaths
202009,OW,50 - 59,unknown,0,0,0
202009,OW,60 - 69,male,0,0,0
202009,OW,60 - 69,female,0,0,0
202009,OW,60 - 69,unknown,0,0,0
202009,OW,70 - 79,male,0,0,0
202009,OW,70 - 79,female,0,0,0
202009,OW,70 - 79,unknown,0,0,0
202009,OW,80+,male,0,0,0
202009,OW,80+,female,0,0,0
202009,OW,80+,unknown,0,0,0
202009,OW,unknown,male,0,0,0
202009,OW,unknown,female,0,0,0
202009,OW,unknown,unknown,0,0,0
202009,SG,0 - 9,male,0,0,0
202009,SG,0 - 9,female,0,0,0
202009,SG,0 - 9,unknown,0,0,0
202009,SG,10 - 19,male,0,0,0
202009,SG,10 - 19,female,0,0,0
202009,SG,10 - 19,unknown,0,0,0
202009,SG,20 - 29,male,0,0,0
202009,SG,20 - 29,female,0,0,0
202009,SG,20 - 29,unknown,0,0,0
202009,SG,30 - 39,male,0,0,0
202009,SG,30 - 39,female,0,0,0
202009,SG,30 - 39,unknown,0,0,0
202009,SG,40 - 49,male,0,0,0
202009,SG,40 - 49,female,0,0,0
202009,SG,40 - 49,unknown,0,0,0
202009,SG,50 - 59,male,0,0,0
202009,SG,50 - 59,female,0,0,0
202009,SG,50 - 59,unknown,0,0,0
202009,SG,60 - 69,male,0,0,0
202009,SG,60 - 69,female,0,0,0
202009,SG,60 - 69,unknown,0,0,0
202009,SG,70 - 79,male,0,0,0
202009,SG,70 - 79,female,0,0,0
202009,SG,70 - 79,unknown,0,0,0
202009,SG,80+,male,0,0,0
202009,SG,80+,female,0,0,0
202009,SG,80+,unknown,0,0,0
202009,SG,unknown,male,0,0,0
202009,SG,unknown,female,0,0,0
202009,SG,unknown,unknown,0,0,0
202009,SH,0 - 9,male,0,0,0
202009,SH,0 - 9,female,0,0,0
202009,SH,0 - 9,unknown,0,0,0
202009,SH,10 - 19,male,0,0,0
202009,SH,10 - 19,female,0,0,0
202009,SH,10 - 19,unknown,0,0,0
202009,SH,20 - 29,male,0,0,0
202009,SH,20 - 29,female,0,0,0
202009,SH,20 - 29,unknown,0,0,0
202009,SH,30 - 39,male,0,0,0
202009,SH,30 - 39,female,0,0,0
202009,SH,30 - 39,unknown,0,0,0
202009,SH,40 - 49,male,0,0,0
202009,SH,40 - 49,female,0,0,0
202009,SH,40 - 49,unknown,0,0,0
202009,SH,50 - 59,male,0,0,0
202009,SH,50 - 59,female,0,0,0
202009,SH,50 - 59,unknown,0,0,0
202009,SH,60 - 69,male,0,0,0
202009,SH,60 - 69,female,0,0,0
202009,SH,60 - 69,unknown,0,0,0
202009,SH,70 - 79,male,0,0,0
202009,SH,70 - 79,female,0,0,0
202009,SH,70 - 79,unknown,0,0,0
202009,SH,80+,male,0,0,0
202009,SH,80+,female,0,0,0
202009,SH,80+,unknown,0,0,0
202009,SH,unknown,male,0,0,0
202009,SH,unknown,female,0,0,0
202009,SH,unknown,unknown,0,0,0
202009,SO,0 - 9,male,0,0,0
202009,SO,0 - 9,female,0,0,0
202009,SO,0 - 9,unknown,0,0,0
202009,SO,10 - 19,male,0,0,0
202009,SO,10 - 19,female,0,0,0
202009,SO,10 - 19,unknown,0,0,0
202009,SO,20 - 29,male,0,0,0
202009,SO,20 - 29,female,0,0,0
202009,SO,20 - 29,unknown,0,0,0
202009,SO,30 - 39,male,0,0,0
202009,SO,30 - 39,female,0,0,0
202009,SO,30 - 39,unknown,0,0,0
202009,SO,40 - 49,male,0,0,0
202009,SO,40 - 49,female,0,0,0
202009,SO,40 - 49,unknown,0,0,0
202009,SO,50 - 59,male,0,0,0
