geoRegion,ageRange,sex,pop
ZH,50 - 59,male,114434
ZH,50 - 59,female,109218
ZH,60 - 69,male,76698
ZH,60 - 69,female,80770
ZH,70 - 79,male,55317
ZH,70 - 79,female,64844
ZH,80+,male,30956
ZH,80+,female,48044
FL,0 - 9,male,1981
FL,0 - 9,female,1803
FL,10 - 19,male,2022
FL,10 - 19,female,1855
FL,20 - 29,male,2253
FL,20 - 29,female,2230
FL,30 - 39,male,2503
FL,30 - 39,female,2507
FL,40 - 49,male,2683
FL,40 - 49,female,2745
FL,50 - 59,male,3194
FL,50 - 59,female,3240
FL,60 - 69,male,2440
FL,60 - 69,female,2544
FL,70 - 79,male,1668
FL,70 - 79,female,1778
FL,80+,male,624
FL,80+,female,985
CH,0 - 9,male,454093
CH,0 - 9,female,429811
CH,10 - 19,male,441637
CH,10 - 19,female,417357
CH,20 - 29,male,527299
CH,20 - 29,female,500433
CH,30 - 39,male,634801
CH,30 - 39,female,620156
CH,40 - 49,male,606697
CH,40 - 49,female,598842
CH,50 - 59,male,654348
CH,50 - 59,female,645664
CH,60 - 69,male,487836
CH,60 - 69,female,503381
CH,70 - 79,male,347918
CH,70 - 79,female,396531
CH,80+,male,183574
CH,80+,female,288413
CHFL,0 - 9,male,456074
CHFL,0 - 9,female,431614
CHFL,10 - 19,male,443659
CHFL,10 - 19,female,419212
CHFL,20 - 29,male,529552
CHFL,20 - 29,female,502663
CHFL,30 - 39,male,637304
CHFL,30 - 39,female,622663
CHFL,40 - 49,male,609380
CHFL,40 - 49,female,601587
CHFL,50 - 59,male,657542
CHFL,50 - 59,female,648904
CHFL,60 - 69,male,490276
CHFL,60 - 69,female,505925
CHFL,70 - 79,male,349586
CHFL,70 - 79,female,398309
CHFL,80+,male,184198
CHFL,80+,female,289398
